timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
1033.564051296,-5.882352941176478,-34.06364110589463,-13.060179257362364,6.726013847675574,-11.760063141278607
1033.597386963,-5.882352941176478,-34.06364110589463,-12.932138284250954,6.824925816023736,-8.287292817679557
1033.630721704,-5.882352941176478,-34.06364110589463,-12.548015364916779,7.022749752720074,-4.972375690607734
1033.664056056,-5.882352941176478,-34.06364110589463,-12.16389244558259,7.319485657764588,-2.288871349644822
1033.697390186,-5.882352941176478,-34.1679707876891,-12.035851472471194,7.418397626112764,-0.23677979479084854
1033.730724297,-5.882352941176478,-34.1679707876891,-12.035851472471194,7.517309594460926,1.0260457774270009
1033.764058353,-5.882352941176478,-34.1679707876891,-12.035851472471194,7.517309594460926,1.6574585635359256
1033.797392353,-5.882352941176478,-34.1679707876891,-12.291933418693972,7.517309594460926,1.4996053670086837
1033.830726279,-5.882352941176478,-34.1679707876891,-12.548015364916779,7.517309594460926,1.0260457774270009
1033.864060317,-5.882352941176478,-34.1679707876891,-12.676056338028175,7.517309594460926,1.0260457774270009
1033.897394261,-5.882352941176478,-34.1679707876891,-12.804097311139557,7.616221562809102,0.868192580899759
1033.93072815,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.616221562809102,0.868192580899759
1033.964062169,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.616221562809102,0.868192580899759
1033.997396095,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.616221562809102,0.868192580899759
1034.030729947,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.616221562809102,0.868192580899759
1034.064063854,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.097397787,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.130731717,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.164065683,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.197399556,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.230733467,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.264067378,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.297401344,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
1034.330735218,-5.882352941176478,-34.1679707876891,-12.932138284250954,7.715133531157264,0.868192580899759
